(tf_gpu_python2) pkar~/Development/CS388-NLP-HW2/code$ python -u pos_bilstm.py ../pos/wsj ../tmp/pos_train_lstm_output_dir/ standard train 2
41152 words found in training set.
Adding 73 orthographic features to LSTM output
WARNING:tensorflow:From pos_bilstm.py:171: calling argmax (from tensorflow.python.ops.math_ops) with dimension is deprecated and will be removed in a future version.
Instructions for updating:
Use the `axis` argument instead
2018-03-14 05:40:05.572728: I tensorflow/core/platform/cpu_feature_guard.cc:140] Your CPU supports instructions that this TensorFlow binary was not compiled to use: AVX2 FMA
10 batches ====> Validation Accuracy: 0.142, OOV Accuracy: 0.146, Perc. OOV Words: 3.442, Validation Loss: 3.702
20 batches ====> Validation Accuracy: 0.154, OOV Accuracy: 0.238, Perc. OOV Words: 3.442, Validation Loss: 3.067
30 batches ====> Validation Accuracy: 0.154, OOV Accuracy: 0.236, Perc. OOV Words: 3.442, Validation Loss: 2.998
40 batches ====> Validation Accuracy: 0.156, OOV Accuracy: 0.237, Perc. OOV Words: 3.442, Validation Loss: 2.973
50 batches ====> Validation Accuracy: 0.159, OOV Accuracy: 0.237, Perc. OOV Words: 3.442, Validation Loss: 2.955
60 batches ====> Validation Accuracy: 0.161, OOV Accuracy: 0.233, Perc. OOV Words: 3.442, Validation Loss: 2.931
70 batches ====> Validation Accuracy: 0.163, OOV Accuracy: 0.233, Perc. OOV Words: 3.442, Validation Loss: 2.893
80 batches ====> Validation Accuracy: 0.171, OOV Accuracy: 0.235, Perc. OOV Words: 3.442, Validation Loss: 2.840
90 batches ====> Validation Accuracy: 0.296, OOV Accuracy: 0.235, Perc. OOV Words: 3.442, Validation Loss: 2.747
100 batches ====> Validation Accuracy: 0.348, OOV Accuracy: 0.237, Perc. OOV Words: 3.442, Validation Loss: 2.598
110 batches ====> Validation Accuracy: 0.356, OOV Accuracy: 0.239, Perc. OOV Words: 3.442, Validation Loss: 2.405
120 batches ====> Validation Accuracy: 0.411, OOV Accuracy: 0.239, Perc. OOV Words: 3.442, Validation Loss: 2.219
130 batches ====> Validation Accuracy: 0.440, OOV Accuracy: 0.257, Perc. OOV Words: 3.442, Validation Loss: 2.060
140 batches ====> Validation Accuracy: 0.469, OOV Accuracy: 0.320, Perc. OOV Words: 3.442, Validation Loss: 1.913
150 batches ====> Validation Accuracy: 0.526, OOV Accuracy: 0.332, Perc. OOV Words: 3.442, Validation Loss: 1.757
160 batches ====> Validation Accuracy: 0.598, OOV Accuracy: 0.352, Perc. OOV Words: 3.442, Validation Loss: 1.590
170 batches ====> Validation Accuracy: 0.647, OOV Accuracy: 0.414, Perc. OOV Words: 3.442, Validation Loss: 1.420
180 batches ====> Validation Accuracy: 0.708, OOV Accuracy: 0.466, Perc. OOV Words: 3.442, Validation Loss: 1.246
190 batches ====> Validation Accuracy: 0.755, OOV Accuracy: 0.517, Perc. OOV Words: 3.442, Validation Loss: 1.082
